site_number,site_address,year,local_site_name,count,min,max,average,med
0002,2105 BROADWAY,2017,DENVER - CAMP,730,0.179167,0.9625,0.3716646739726027,0.333333
0002,2105 BROADWAY,2018,DENVER - CAMP,726,0.170833,1.998958,0.37096238980716256,0.3199585
0002,2105 BROADWAY,2019,DENVER - CAMP,714,0.165333,1.241667,0.3499965238095238,0.295833
0002,2105 BROADWAY,2020,DENVER - CAMP,732,0.141667,1.263565,0.3163240191256831,0.27347849999999996
0002,2105 BROADWAY,2021,DENVER - CAMP,723,0.142857,1.355042,0.3413085601659751,0.316667
0026,4545 Navajo St.,2017,La Casa,725,0.141176,0.894583,0.3070363117241379,0.2625
0026,4545 Navajo St.,2018,La Casa,727,0.125,2.019,0.3093199477303989,0.255583
0026,4545 Navajo St.,2019,La Casa,724,0.120833,1.004167,0.30516890193370166,0.25410449999999996
0026,4545 Navajo St.,2020,La Casa,725,0.1,0.964478,0.28871357793103447,0.24675
0026,4545 Navajo St.,2021,La Casa,708,0.133333,1.117083,0.29972163700564974,0.267417
0027,971 Yuma Street,2017,I-25,726,0.220833,1.1525,0.4927704931129477,0.44596
0027,971 Yuma Street,2018,I-25,717,0.172625,2.213708,0.495812059972106,0.435333
0027,971 Yuma Street,2019,I-25,728,0.210917,1.575,0.49253269505494507,0.41837500000000005
0027,971 Yuma Street,2020,I-25,707,0.184375,1.296391,0.43922605091937766,0.397
0027,971 Yuma Street,2021,I-25,724,0.2,1.689524,0.46685155524861877,0.433333
3001,3174 E. 78TH AVE.,2017,Welby,728,0.1,0.989833,0.2897075178571429,0.24466
3001,3174 E. 78TH AVE.,2018,Welby,726,0.1,1.301667,0.2913259228650138,0.2429165
3001,3174 E. 78TH AVE.,2019,Welby,705,0.1,0.980917,0.29169232198581563,0.233583
3001,3174 E. 78TH AVE.,2020,Welby,727,0.1,0.793579,0.28162020357634115,0.233333
3001,3174 E. 78TH AVE.,2021,Welby,667,0.1,1.150208,0.3016977511244378,0.266667
