site_number,year,site_address,local_site_name,count,min,max,average,med
0002,2017,2105 BROADWAY,DENVER - CAMP,730,6.630435,48.6,19.255826210958904,17.182609
0002,2018,2105 BROADWAY,DENVER - CAMP,730,5.947619,61.930435,18.540332857534246,16.256522
0002,2019,2105 BROADWAY,DENVER - CAMP,724,5.8,60.06087,18.645151602209946,15.45
0002,2020,2105 BROADWAY,DENVER - CAMP,732,3.565217,57.904348,15.477097942622951,12.8326085
0002,2021,2105 BROADWAY,DENVER - CAMP,692,4.978261,57.352941,15.476460916184971,13.5863045
0006,2019,16600 W COLO #128,ROCKY FLATS-N,664,0.4,16.026087,3.5795605512048194,2.8282605
0006,2020,16600 W COLO #128,ROCKY FLATS-N,724,-0.068182,13.686957,2.460931491712707,1.862253
0006,2021,16600 W COLO #128,ROCKY FLATS-N,730,-0.061905,23.33913,2.6149577616438355,1.918182
0026,2017,4545 Navajo St.,La Casa,730,5.66087,44.243478,18.394525597260273,16.047826
0026,2018,4545 Navajo St.,La Casa,638,4.429412,56.594118,18.81927020062696,16.295652
0026,2019,4545 Navajo St.,La Casa,676,3.973913,52.478261,18.322150076923077,15.574638
0026,2020,4545 Navajo St.,La Casa,726,2.617391,47.965217,15.435612363636363,13.369565
0026,2021,4545 Navajo St.,La Casa,700,4.073913,45.086957,15.911335197142858,13.693477999999999
0027,2017,971 Yuma Street,I-25,712,8.656522,49.2,24.438130474719102,23.4326085
0027,2018,971 Yuma Street,I-25,696,9.373913,55.478261,23.942709747126436,22.940372500000002
0027,2019,971 Yuma Street,I-25,728,9.356522,62.934783,24.095585826923077,22.1349805
0027,2020,971 Yuma Street,I-25,718,5.682609,55.556522,21.052283782729805,19.763636
0027,2021,971 Yuma Street,I-25,680,3.93913,50.4625,21.323171761764705,20.1869565
0028,2017,4903 Acoma St.,Globeville,718,2.504348,55.604348,27.391180462395543,26.752174
0028,2018,4903 Acoma St.,Globeville,686,6.669565,62.152174,27.08442320116618,26.156522
0028,2019,4903 Acoma St.,Globeville,702,6.56087,63.473913,26.71951162108262,25.247826
0028,2020,4903 Acoma St.,Globeville,724,2.956522,60.426087,25.130087104972375,23.956522
0028,2021,4903 Acoma St.,Globeville,730,7.1,60.482609,25.960154260273974,24.878261
3001,2017,3174 E. 78TH AVE.,Welby,642,2.578261,44.39,14.576917750778817,12.909524
3001,2018,3174 E. 78TH AVE.,Welby,724,1.813043,48.030435,15.73611941436464,13.9833335
3001,2019,3174 E. 78TH AVE.,Welby,706,2.378261,48.369565,16.637041107648724,14.134783
3001,2020,3174 E. 78TH AVE.,Welby,714,1.882609,51.238462,15.54767105882353,13.804762
3001,2021,3174 E. 78TH AVE.,Welby,664,-0.184211,51.343478,15.388328509036144,13.965217500000001
