site_number,site_address,local_site_name,count,min_av,max_av,average_av,med_av,min_mx,max_mx,average_mx,med_mx
0002,2105 BROADWAY,DENVER - CAMP,7238,3.53e-4,0.065059,0.028511639679469465,0.029412,0.001,0.095,0.04136626139817629,0.041
0002,8100 S. UNIVERSITY BLVD,HIGHLAND RESERVOIR,7269,0.001588,0.076294,0.03861162181868207,0.039235,0.004,0.108,0.04930678222589077,0.049
0004,11500 N. Roxborough Park Rd.,Chatfield State Park,7223,0.0015,0.075353,0.038190084037103694,0.039,0.002,0.106,0.05034265540634086,0.05
0005,12400 W. HWY 285,WELCH,5360,0,0.073294,0.03618879608208955,0.037333,0,0.096,0.046525746268656715,0.046
0006,16600 W COLO #128,ROCKY FLATS-N,7250,0.005353,0.081059,0.04318586703448276,0.043854,0.009,0.104,0.05167462068965517,0.05
0006,36001 E. Quincy Ave.,Aurora East,7227,0.007,0.071,0.04083135464231355,0.041208,0.01,0.098,0.04981873529818735,0.049
0011,2054 QUAKER ST.,NATIONAL RENEWABLE ENERGY LABS - NREL,7163,0.001882,0.082059000000000007,0.04123568797989669,0.042063,0.005,0.112,0.05104411559402485,0.049
0013,26137 Conifer Road,Aspen Park,3925,0.004,0.065412,0.04070641350318471,0.041529,0.004,0.098,0.0488056050955414,0.049
0014,5124 South Hatch Drive,Evergreen,1697,0.005,0.072471,0.03718854213317619,0.0375,0.005,0.101,0.04760577489687684,0.046
0026,4545 Navajo St.,La Casa,7045,0,0.0832,0.028525489567068844,0.029708,0,0.102,0.04398381831085876,0.045
3001,3174 E. 78TH AVE.,Welby,7051,0,0.063583,0.027451358247057155,0.028583,0,0.1,0.04360005672954191,0.044
